relpath,module,status,has_status,importance,difficulty,syllabus_code,n_source_extracts,body_lines,has_teaching_section,n_aliases,inbound_refs
03-知识点/README.md,(根目录),(缺失),否,,,,0,28,是,0,1
03-知识点/知识点.md,(根目录),已填充,是,,,,0,56,是,0,10
03-知识点/决赛要求/README.md,决赛要求,已填充,是,,,,0,41,否,0,10
03-知识点/决赛要求/材料化学.md,决赛要求,已填充,是,3,4,,1,262,是,2,36
03-知识点/决赛要求/物理化学深化/Boltzmann统计初步.md,决赛要求,已填充,是,4,5,决赛04,1,516,是,3,11
03-知识点/决赛要求/物理化学深化/Debye-Hückel极限定律.md,决赛要求,已填充,是,4,5,决赛-物理化学深化,1,188,是,3,9
03-知识点/决赛要求/物理化学深化/Langmuir吸附等温式.md,决赛要求,已填充,是,4,4,决赛09,1,145,是,3,4
03-知识点/决赛要求/物理化学深化/Raoult与Henry定律.md,决赛要求,已填充,是,5,4,决赛05,2,379,是,4,82
03-知识点/决赛要求/物理化学深化/临界胶束浓度.md,决赛要求,已填充,是,4,4,决赛09,1,114,是,1,10
03-知识点/决赛要求/物理化学深化/亥姆霍兹自由能.md,决赛要求,已填充,是,4,4,决赛04,1,65,是,3,6
03-知识点/决赛要求/物理化学深化/光化学基础.md,决赛要求,已填充,是,4,4,决赛07,1,115,是,1,10
03-知识点/决赛要求/物理化学深化/克拉佩隆方程.md,决赛要求,已填充,是,4,4,决赛05,1,60,是,4,12
03-知识点/决赛要求/物理化学深化/分子光谱.md,决赛要求,已填充,是,4,5,决赛-物理化学深化,1,368,是,5,17
03-知识点/决赛要求/物理化学深化/分子间相互作用深化.md,决赛要求,已填充,是,4,4,决赛03,1,114,是,1,11
03-知识点/决赛要求/物理化学深化/化学动力学深化.md,决赛要求,已填充,是,5,4,决赛07,5,673,是,3,126
03-知识点/决赛要求/物理化学深化/化学势与平衡.md,决赛要求,已填充,是,4,4,决赛04,1,136,是,1,48
03-知识点/决赛要求/物理化学深化/卡诺循环.md,决赛要求,已填充,是,4,4,决赛04,1,67,是,4,6
03-知识点/决赛要求/物理化学深化/双组分相图.md,决赛要求,已填充,是,4,4,决赛05,2,150,是,1,23
03-知识点/决赛要求/物理化学深化/反应机理与近似.md,决赛要求,已填充,是,5,5,决赛08,1,545,是,4,57
03-知识点/决赛要求/物理化学深化/可逆电池.md,决赛要求,已填充,是,4,4,决赛10,1,125,是,1,10
03-知识点/决赛要求/物理化学深化/可逆过程与最大功.md,决赛要求,已填充,是,3,3,决赛04,1,64,是,3,8
03-知识点/决赛要求/物理化学深化/吉布斯-亥姆霍兹方程.md,决赛要求,已填充,是,4,4,决赛04,1,65,是,2,7
03-知识点/决赛要求/物理化学深化/吸附.md,决赛要求,已填充,是,4,4,决赛09,1,113,是,1,11
03-知识点/决赛要求/物理化学深化/固体物理性质.md,决赛要求,已填充,是,4,4,决赛03,1,144,是,1,20
03-知识点/决赛要求/物理化学深化/图-双组分相图-杠杆规则.excalidraw.md,决赛要求,已填充,是,,,,2,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-双组分相图-简单共晶.excalidraw.md,决赛要求,已填充,是,,,,2,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-活度与活度系数-反应商书写.excalidraw.md,决赛要求,已填充,是,,,,1,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-活度与活度系数-正负偏差.excalidraw.md,决赛要求,已填充,是,,,,0,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-温度对速率的影响-Arrhenius直线.excalidraw.md,决赛要求,已填充,是,,,,0,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-温度对速率的影响-Maxwell分布.excalidraw.md,决赛要求,已填充,是,,,,0,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-电导-三层关系.excalidraw.md,决赛要求,已填充,是,,,,0,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-电导-强弱电解质曲线.excalidraw.md,决赛要求,已填充,是,,,,0,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-迁移数-Hittorf法.excalidraw.md,决赛要求,已填充,是,,,,0,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-迁移数-电流分账.excalidraw.md,决赛要求,已填充,是,,,,0,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-速率控制步骤-快平衡慢步骤.excalidraw.md,决赛要求,已填充,是,,,,0,12,否,0,0
03-知识点/决赛要求/物理化学深化/图-速率控制步骤-近似选择.excalidraw.md,决赛要求,已填充,是,,,,0,12,否,0,0
03-知识点/决赛要求/物理化学深化/基元反应.md,决赛要求,已填充,是,5,4,决赛08,1,170,是,2,12
03-知识点/决赛要求/物理化学深化/多相催化.md,决赛要求,已填充,是,4,4,决赛07,1,113,是,1,16
03-知识点/决赛要求/物理化学深化/平行反应.md,决赛要求,已填充,是,3,3,决赛07,1,67,是,3,3
03-知识点/决赛要求/物理化学深化/平衡近似.md,决赛要求,已填充,是,4,4,决赛08,1,154,是,3,3
03-知识点/决赛要求/物理化学深化/接触角.md,决赛要求,已填充,是,4,4,决赛09,1,114,是,1,3
03-知识点/决赛要求/物理化学深化/活度与活度系数.md,决赛要求,已填充,是,4,4,决赛05,1,149,是,2,34
03-知识点/决赛要求/物理化学深化/润湿.md,决赛要求,已填充,是,4,4,决赛09,1,113,是,1,4
03-知识点/决赛要求/物理化学深化/渗透压.md,决赛要求,已填充,是,4,4,决赛05,1,113,是,1,22
03-知识点/决赛要求/物理化学深化/温度对速率的影响.md,决赛要求,已填充,是,4,4,决赛07,1,137,是,1,4
03-知识点/决赛要求/物理化学深化/热力学四大基本方程.md,决赛要求,已填充,是,5,5,决赛04,1,68,是,3,3
03-知识点/决赛要求/物理化学深化/热力学第一定律深化.md,决赛要求,已填充,是,4,4,决赛04,2,113,是,1,18
03-知识点/决赛要求/物理化学深化/热力学第三定律深化.md,决赛要求,已填充,是,4,4,决赛04,1,113,是,1,5
03-知识点/决赛要求/物理化学深化/热力学第二定律深化.md,决赛要求,已填充,是,4,4,决赛04,3,113,是,1,16
03-知识点/决赛要求/物理化学深化/热容与摩尔热容.md,决赛要求,已填充,是,3,3,决赛04,1,70,是,5,6
03-知识点/决赛要求/物理化学深化/焦汤系数.md,决赛要求,已填充,是,3,3,决赛04,1,64,是,4,2
03-知识点/决赛要求/物理化学深化/焦耳实验与理想气体内能.md,决赛要求,已填充,是,3,3,决赛04,1,64,是,4,2
03-知识点/决赛要求/物理化学深化/熵变计算.md,决赛要求,已填充,是,4,4,决赛04,3,70,是,4,6
03-知识点/决赛要求/物理化学深化/理想气体混合物与化学势.md,决赛要求,已填充,是,3,3,决赛04,1,67,是,3,47
03-知识点/决赛要求/物理化学深化/电化学深化.md,决赛要求,已填充,是,5,5,决赛10,3,622,是,4,46
03-知识点/决赛要求/物理化学深化/电导.md,决赛要求,已填充,是,4,4,决赛10,1,149,是,1,6
03-知识点/决赛要求/物理化学深化/电极电势深化.md,决赛要求,已填充,是,4,4,决赛10,3,136,是,1,6
03-知识点/决赛要求/物理化学深化/电极过程热力学.md,决赛要求,已填充,是,4,4,决赛10,1,124,是,1,9
03-知识点/决赛要求/物理化学深化/电池电动势.md,决赛要求,已填充,是,4,4,决赛10,1,136,是,1,9
03-知识点/决赛要求/物理化学深化/相变热力学.md,决赛要求,已填充,是,4,4,决赛05,1,167,是,1,13
03-知识点/决赛要求/物理化学深化/相律与相图.md,决赛要求,已填充,是,4,4,决赛05,2,135,是,1,15
03-知识点/决赛要求/物理化学深化/碰撞理论与过渡态理论.md,决赛要求,已填充,是,5,5,决赛08,1,602,是,4,10
03-知识点/决赛要求/物理化学深化/离子强度与Debye-Hückel极限定律.md,决赛要求,已填充,是,3,3,决赛05,1,69,是,4,15
03-知识点/决赛要求/物理化学深化/稀溶液依数性.md,决赛要求,已填充,是,4,4,决赛05,1,143,是,1,48
03-知识点/决赛要求/物理化学深化/稳态近似.md,决赛要求,已填充,是,5,4,决赛08,1,167,是,3,23
03-知识点/决赛要求/物理化学深化/绝热可逆过程.md,决赛要求,已填充,是,3,3,决赛04,1,72,是,4,5
03-知识点/决赛要求/物理化学深化/胶体与表面活性剂.md,决赛要求,已填充,是,4,4,决赛09,2,113,是,1,15
03-知识点/决赛要求/物理化学深化/胶束.md,决赛要求,已填充,是,4,4,决赛09,1,113,是,1,6
03-知识点/决赛要求/物理化学深化/范特霍夫方程.md,决赛要求,已填充,是,4,4,决赛07,1,66,是,3,17
