broken_name,substring_candidates,occurrences,sample_sources
分析化学,00-首页/模块连接推进-分析化学.md | 01-考纲导航/基础要求-分析化学.md | 04-课件/习题课/第二轮分析化学习题课.md | 04-课件/复习课/第二轮分析化学复习.md | 07-资料提炼/书籍提炼/提炼-分析化学第六版-第3章-误差与数据处理.md | 07-资料提炼/书籍提炼/提炼-分析化学第六版-第5-6章-酸碱滴定与配位滴定.md,35,00-首页/图片索引.md; 03-知识点/分析化学/萃取.md; 03-知识点/化学原理/方程式书写.md
还原反应,02-考纲条目/基础要求/有机化学/40-氧化还原反应.md | 03-知识点/化学原理/氧化还原反应方程式配平.md | 03-知识点/有机化学/有机还原反应.md | 03-知识点/有机化学/氧化还原反应.md | 03-知识点/高中化学基础/氧化还原反应基础.md | 04-课件/学生讲义/2026-06-23-氧化还原反应.md,31,04-题库/教材习题/ABOC/题-093-ABOC-Ch2-2.4-1-查阅有关资料 通过键能数据判断烯醇和酮谁更稳定.md; 04-题库/教材习题/ABOC/题-094-ABOC-Ch2-2.4-3-右侧物质的烯醇含量在水中高还是环己烷中高 提示 氢键.md; 04-题库/教材习题/ABOC/题-095-ABOC-Ch2-2.5-工业制备 DMSO 当然不会利用这个方法 而是在     m.md
基本反应,03-知识点/化学原理/基本反应类型.md | 07-资料提炼/书籍提炼/提炼-ABOC-第2章-基本反应.md,28,04-题库/教材习题/ABOC/题-093-ABOC-Ch2-2.4-1-查阅有关资料 通过键能数据判断烯醇和酮谁更稳定.md; 04-题库/教材习题/ABOC/题-094-ABOC-Ch2-2.4-3-右侧物质的烯醇含量在水中高还是环己烷中高 提示 氢键.md; 04-题库/教材习题/ABOC/题-095-ABOC-Ch2-2.5-工业制备 DMSO 当然不会利用这个方法 而是在     m.md
浓度,03-知识点/决赛要求/物理化学深化/临界胶束浓度.md | 03-知识点/化学原理/化学平衡计算.md | 03-知识点/化学原理/溶液浓度.md | 04-专题与题型/题型/题型-浓度计算.md | 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.3-三元酸起始浓度计算.md | 04-题库/教材习题/无机化学例题与习题/Ch08-酸碱解离平衡/例题/例8.4-混合弱酸离子浓度.md,27,04-题库/教材习题/化学竞赛初赛讲义/题-050-初赛讲义-溶液与化学分析-习题9.23.md; 04-题库/教材习题/化学竞赛初赛讲义/题-051-初赛讲义-溶液与化学分析-习题9.25.md; 04-题库/教材习题/化学竞赛初赛讲义/题-051-初赛讲义-溶液与化学分析-习题9.26.md
推断技术,04-题库/教材习题/化学竞赛初赛讲义/答案/第6讲-推断技术-答案.md | 04-题库/教材习题/化学竞赛初赛讲义/题-017-初赛讲义-推断技术-习题6.17.md | 04-题库/教材习题/化学竞赛初赛讲义/题-018-初赛讲义-推断技术-习题6.18.md | 04-题库/教材习题/化学竞赛初赛讲义/题-019-初赛讲义-推断技术-习题6.19.md | 04-题库/教材习题/化学竞赛初赛讲义/题-020-初赛讲义-推断技术-习题6.20.md | 04-题库/教材习题/化学竞赛初赛讲义/题-021-初赛讲义-推断技术-习题6.21.md,23,04-题库/教材习题/化学竞赛初赛讲义/题-019-初赛讲义-推断技术-习题6.19.md; 04-题库/教材习题/化学竞赛初赛讲义/题-020-初赛讲义-推断技术-习题6.20.md; 04-题库/教材习题/化学竞赛初赛讲义/题-021-初赛讲义-推断技术-习题6.21.md
物质推断,04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/例题/例12.6-物质推断题.md | 04-题库/教材习题/无机化学例题与习题/Ch13-硼族元素/例题/Ch13-例13.6-物质推断.md | 04-题库/教材习题/无机化学例题与习题/Ch14-碳族元素/例题/Ch14-例14.8-物质推断.md | 04-题库/真题/第38届初赛/题-038-1-2-炼丹物质推断.md,19,04-题库/教材习题/化学竞赛初赛讲义/题-019-初赛讲义-推断技术-习题6.19.md; 04-题库/教材习题/化学竞赛初赛讲义/题-021-初赛讲义-推断技术-习题6.21.md; 04-题库/教材习题/化学竞赛初赛讲义/题-022-初赛讲义-推断技术-习题6.23.md
沉淀转化,03-知识点/无机和结构化学/难溶物.md | 04-专题与题型/题型/题型-沉淀转化.md | 04-题库/教材习题/无机化学例题与习题/Ch09-沉淀溶解平衡/例题/例9.8-沉淀转化的条件.md,17,04-专题与题型/题型/题型-溶解度判断.md; 04-题库/分析化学/氧化还原与沉淀滴定/碘量法测铜近终点加KSCN.md; 04-题库/教材习题/上海中学竞赛课程/题-060-上海中学-离子反应-习题1.md
烷烃,03-知识点/化学原理/环烷烃.md | 03-知识点/有机化学/Wurtz偶联.md | 03-知识点/有机化学/构象异构.md | 04-课件/学生讲义/2026-06-23-烷烃烯烃炔烃.md | 04-题库/教材习题/上海中学竞赛课程/题-064-上海中学-烷烃与环烷烃-习题1.md | 04-题库/有机化学/自由基反应/题-有机-自由基-烷烃卤代选择性计算.md,16,04-题库/教材习题/上海中学竞赛课程/题-064-上海中学-烷烃与环烷烃-习题1.md; 07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第四分册-二烯烃与炔烃.md; 07-资料提炼/书籍提炼/提炼-上海中学竞赛课程-第四分册-卤代烃与有机金属化合物.md
配平,03-知识点/化学原理/方程式书写.md | 03-知识点/化学原理/氧化还原反应方程式配平.md | 04-专题与题型/题型/题型-方程式配平.md | 04-专题与题型/题型/题型-氧化还原方程式配平.md | 04-题库/教材习题/无机化学例题与习题/Ch10-氧化还原反应/习题/10.23-10.24-配平题.md | 04-题库/教材习题/无机化学例题与习题/Ch12-碱金属和碱土金属/习题/12.19-12.29-完成配平方程式.md,15,04-题库/教材习题/上海中学竞赛课程/题-025-上海中学-氮族元素-习题5.md; 04-题库/教材习题/化学竞赛初赛讲义/题-001-初赛讲义-反应方程式-习题1.2.md; 04-题库/教材习题/化学竞赛初赛讲义/题-002-初赛讲义-反应方程式-习题1.22.md
mineru/...,03-知识点/无机和结构化学/硼族元素.md | 03-知识点/无机和结构化学/稀有气体.md,14,00-首页/工作日志/2026-05-10.md; 00-首页/工作日志/2026-05-18.md; 00-首页/规则-配图来源优先级.md
电解,03-知识点/决赛要求/物理化学深化/图-电导-强弱电解质曲线.excalidraw.md | 03-知识点/决赛要求/物理化学深化/离子强度与Debye-Hückel极限定律.md | 03-知识点/化学原理/电化学.md | 03-知识点/化学原理/电解池.md | 03-知识点/化学原理/电解质溶液.md | 03-知识点/无机和结构化学/单质制备方法.md,13,03-知识点/无机和结构化学/电解冶金.md; 04-题库/教材习题/上海中学竞赛课程/题-059-上海中学-电化学-习题1.md; 04-题库/教材习题/化学竞赛初赛讲义/题-050-初赛讲义-热力学和动力学初步-习题8.16.md
KP,00-首页/KP-提炼-题库挂接巡检表.md | 00-首页/KP复习清单.md | 00-首页/待建KP优先级清单.md | 00-首页/活跃任务/任务卡-KP-review-cycle字段启用方案.md | 00-首页/活跃任务/任务卡-主族元素KP填充.md | 00-首页/活跃任务/任务卡-元素推断KP填充.md,13,11-模板/模板-专题.md; 11-模板/模板-复盘记录.md; 11-模板/模板-课件大纲.md
异构体,02-考纲条目/基础要求/有机化学/25-互变异构体.md | 03-知识点/有机化学/非对映异构.md | 03-知识点/有机化学/顺反异构.md | 04-专题与题型/题型/题型-异构体计数.md | 04-题库/教材习题/ABOC/题-192-ABOC-Ch1-1.4.2-2-孤对电子被溶剂化 且直立异构体偶极矩小于平伏异构体 极性溶剂.md | 04-题库/教材习题/无机化学例题与习题/Ch11-配位化学基础/例题/例11.1-配合物几何异构体.md,12,04-题库/真题/第32届决赛/理论/题-032决-1-Ir化合物异构体.md; 04-题库/真题/第37届初赛/题-037-5-2-2-HSNO异构体.md; 04-题库/真题/第39届决赛/理论/题-39决理-7-四氮唑类化合物及其反应性.md
