源文件,行号,图片哈希,语义块,块标题,答案区,跨题重复,出现文件数,上下文摘要,核验结论,备注
真题/第25届初赛/化学原理/题-025-1-1-居里夫人发现元素.md,38,4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg,题干图示,题目图示与结构参考,是,是,5,![[4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg]],,
真题/第25届初赛/化学原理/题-025-1-1-居里夫人发现元素.md,40,ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg,题干图示,题目图示与结构参考,是,是,5,![[ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg]],,
真题/第25届初赛/化学原理/题-025-1-1-居里夫人发现元素.md,42,df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg,题干图示,题目图示与结构参考,是,是,5,![[df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg]],,
真题/第25届初赛/化学原理/题-025-1-2-Ti红氧化与CuCl沉淀.md,44,4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg,题干图示,题目图示与结构参考,是,是,5,![[4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg]],,
真题/第25届初赛/化学原理/题-025-1-2-Ti红氧化与CuCl沉淀.md,46,ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg,题干图示,题目图示与结构参考,是,是,5,![[ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg]],,
真题/第25届初赛/化学原理/题-025-1-2-Ti红氧化与CuCl沉淀.md,48,df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg,题干图示,题目图示与结构参考,是,是,5,![[df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg]],,
真题/第25届初赛/化学原理/题-025-1-5-高铁酸根氧化还原.md,64,4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg,题干图示,题目图示与结构参考,是,是,5,![[4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg]],,
真题/第25届初赛/化学原理/题-025-1-5-高铁酸根氧化还原.md,66,ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg,题干图示,题目图示与结构参考,是,是,5,![[ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg]],,
真题/第25届初赛/化学原理/题-025-1-5-高铁酸根氧化还原.md,68,df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg,题干图示,题目图示与结构参考,是,是,5,![[df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-1-3-SNF与SNF3结构.md,38,4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg,题干图示,题目图示与结构参考,是,是,5,![[4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-1-3-SNF与SNF3结构.md,40,ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg,题干图示,题目图示与结构参考,是,是,5,![[ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-1-3-SNF与SNF3结构.md,42,df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg,题干图示,题目图示与结构参考,是,是,5,![[df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-1-4-铝镁有机金属结构.md,38,4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg,题干图示,题目图示与结构参考,是,是,5,![[4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-1-4-铝镁有机金属结构.md,40,ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg,题干图示,题目图示与结构参考,是,是,5,![[ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-1-4-铝镁有机金属结构.md,42,df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg,题干图示,题目图示与结构参考,是,是,5,![[df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-2-1-乙酰丙酮锰配合物结构.md,36,2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg,题干图示,题目图示与结构参考,是,是,5,![[2b44af171833f3b1c67f865b58fc87e06bfda4d114d28995f16f3b39485c3755.jpg]],,
真题/第25届初赛/无机和结构化学/题-025-2-1-乙酰丙酮锰配合物结构.md,38,fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg,题干图示,题目图示与结构参考,是,是,5,![[fa8391a7866700de5d322b244563d8934e6bf7871299058b2cf422d5c3da3ed7.jpg]],,
