图片哈希,出现文件数,语义块,首现文件,全部源文件,媒体存在
0a1498d59a7843bd0ce5525c07283d7dfb9bf468e44673deaaa3369b41e6b891.jpg,10,题干图示,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md:50 | 真题/第27届初赛/无机和结构化学/题-027-2-1-Bi2Cl8结构与杂化.md:44 | 真题/第27届初赛/无机和结构化学/题-027-2-2-液氨中Mg置换Na.md:40 | 真题/第27届初赛/无机和结构化学/题-027-2-3-Pb液氨电解.md:44 | 真题/第27届初赛/无机和结构化学/题-027-2-4-1-金属氧化物配位数.md:43 | 真题/第27届初赛/无机和结构化学/题-027-2-4-2-晶胞原子数.md:44 | 真题/第27届初赛/无机和结构化学/题-027-2-4-3-金属氧化物化学式.md:43 | 真题/第27届初赛/无机和结构化学/题-027-2-5-多核钴配合物手性结构.md:45 | 真题/第27届初赛/无机和结构化学/题-027-2-6-铬酰氯推断与结构.md:44 | 真题/第27届初赛/无机和结构化学/题-027-2-7-钯配合物组成计算.md:45,是
724f92736ebd1304052ca58bcdf78fc6c9cd46b44ba86978ed8b297f1d07a5f2.jpg,10,题干图示,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md:58 | 真题/第27届初赛/无机和结构化学/题-027-2-1-Bi2Cl8结构与杂化.md:52 | 真题/第27届初赛/无机和结构化学/题-027-2-2-液氨中Mg置换Na.md:48 | 真题/第27届初赛/无机和结构化学/题-027-2-3-Pb液氨电解.md:52 | 真题/第27届初赛/无机和结构化学/题-027-2-4-1-金属氧化物配位数.md:51 | 真题/第27届初赛/无机和结构化学/题-027-2-4-2-晶胞原子数.md:52 | 真题/第27届初赛/无机和结构化学/题-027-2-4-3-金属氧化物化学式.md:51 | 真题/第27届初赛/无机和结构化学/题-027-2-5-多核钴配合物手性结构.md:53 | 真题/第27届初赛/无机和结构化学/题-027-2-6-铬酰氯推断与结构.md:52 | 真题/第27届初赛/无机和结构化学/题-027-2-7-钯配合物组成计算.md:53,是
81a8d5b638511406e9e810a993f3a2d775264832df8b007f3a79e19fd694bf2a.jpg,10,题干图示,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md:52 | 真题/第27届初赛/无机和结构化学/题-027-2-1-Bi2Cl8结构与杂化.md:46 | 真题/第27届初赛/无机和结构化学/题-027-2-2-液氨中Mg置换Na.md:42 | 真题/第27届初赛/无机和结构化学/题-027-2-3-Pb液氨电解.md:46 | 真题/第27届初赛/无机和结构化学/题-027-2-4-1-金属氧化物配位数.md:45 | 真题/第27届初赛/无机和结构化学/题-027-2-4-2-晶胞原子数.md:46 | 真题/第27届初赛/无机和结构化学/题-027-2-4-3-金属氧化物化学式.md:45 | 真题/第27届初赛/无机和结构化学/题-027-2-5-多核钴配合物手性结构.md:47 | 真题/第27届初赛/无机和结构化学/题-027-2-6-铬酰氯推断与结构.md:46 | 真题/第27届初赛/无机和结构化学/题-027-2-7-钯配合物组成计算.md:47,是
87c23673ef9590263d5a2e6cc8d6bdb9cc39afda631bae3cde804b5224f40d21.jpg,10,题干图示,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md:56 | 真题/第27届初赛/无机和结构化学/题-027-2-1-Bi2Cl8结构与杂化.md:50 | 真题/第27届初赛/无机和结构化学/题-027-2-2-液氨中Mg置换Na.md:46 | 真题/第27届初赛/无机和结构化学/题-027-2-3-Pb液氨电解.md:50 | 真题/第27届初赛/无机和结构化学/题-027-2-4-1-金属氧化物配位数.md:49 | 真题/第27届初赛/无机和结构化学/题-027-2-4-2-晶胞原子数.md:50 | 真题/第27届初赛/无机和结构化学/题-027-2-4-3-金属氧化物化学式.md:49 | 真题/第27届初赛/无机和结构化学/题-027-2-5-多核钴配合物手性结构.md:51 | 真题/第27届初赛/无机和结构化学/题-027-2-6-铬酰氯推断与结构.md:50 | 真题/第27届初赛/无机和结构化学/题-027-2-7-钯配合物组成计算.md:51,是
94ba0ccf835497bcafefbedb1b7edfea4eb7bada4240519a544afab21ffbe04c.jpg,10,题干图示,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md:48 | 真题/第27届初赛/无机和结构化学/题-027-2-1-Bi2Cl8结构与杂化.md:42 | 真题/第27届初赛/无机和结构化学/题-027-2-2-液氨中Mg置换Na.md:38 | 真题/第27届初赛/无机和结构化学/题-027-2-3-Pb液氨电解.md:42 | 真题/第27届初赛/无机和结构化学/题-027-2-4-1-金属氧化物配位数.md:41 | 真题/第27届初赛/无机和结构化学/题-027-2-4-2-晶胞原子数.md:42 | 真题/第27届初赛/无机和结构化学/题-027-2-4-3-金属氧化物化学式.md:41 | 真题/第27届初赛/无机和结构化学/题-027-2-5-多核钴配合物手性结构.md:43 | 真题/第27届初赛/无机和结构化学/题-027-2-6-铬酰氯推断与结构.md:42 | 真题/第27届初赛/无机和结构化学/题-027-2-7-钯配合物组成计算.md:43,是
d50206ff9c5b8a939b460825692de308e9ee7e76e66b17d5f837d8f73292ae83.jpg,10,题干图示,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md:46 | 真题/第27届初赛/无机和结构化学/题-027-2-1-Bi2Cl8结构与杂化.md:40 | 真题/第27届初赛/无机和结构化学/题-027-2-2-液氨中Mg置换Na.md:36 | 真题/第27届初赛/无机和结构化学/题-027-2-3-Pb液氨电解.md:40 | 真题/第27届初赛/无机和结构化学/题-027-2-4-1-金属氧化物配位数.md:39 | 真题/第27届初赛/无机和结构化学/题-027-2-4-2-晶胞原子数.md:40 | 真题/第27届初赛/无机和结构化学/题-027-2-4-3-金属氧化物化学式.md:39 | 真题/第27届初赛/无机和结构化学/题-027-2-5-多核钴配合物手性结构.md:41 | 真题/第27届初赛/无机和结构化学/题-027-2-6-铬酰氯推断与结构.md:40 | 真题/第27届初赛/无机和结构化学/题-027-2-7-钯配合物组成计算.md:41,是
fd4e14d9deb96227f15759c88d573c59ae3b5c407076d839b612698e459acab6.jpg,10,题干图示,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md,真题/第27届初赛/化学原理/题-027-2-8-甲烷燃烧体积比.md:54 | 真题/第27届初赛/无机和结构化学/题-027-2-1-Bi2Cl8结构与杂化.md:48 | 真题/第27届初赛/无机和结构化学/题-027-2-2-液氨中Mg置换Na.md:44 | 真题/第27届初赛/无机和结构化学/题-027-2-3-Pb液氨电解.md:48 | 真题/第27届初赛/无机和结构化学/题-027-2-4-1-金属氧化物配位数.md:47 | 真题/第27届初赛/无机和结构化学/题-027-2-4-2-晶胞原子数.md:48 | 真题/第27届初赛/无机和结构化学/题-027-2-4-3-金属氧化物化学式.md:47 | 真题/第27届初赛/无机和结构化学/题-027-2-5-多核钴配合物手性结构.md:49 | 真题/第27届初赛/无机和结构化学/题-027-2-6-铬酰氯推断与结构.md:48 | 真题/第27届初赛/无机和结构化学/题-027-2-7-钯配合物组成计算.md:49,是
093be01dd3f863f25a39031790de6302d26b8b0c0bfd12702d182a9d7bf2cc66.jpg,6,题干图示,真题/第27届初赛/无机和结构化学/题-027-3-1-硫脲结构式.md,真题/第27届初赛/无机和结构化学/题-027-3-1-硫脲结构式.md:42 | 真题/第27届初赛/无机和结构化学/题-027-3-2-硫脲合成方程式.md:46 | 真题/第27届初赛/无机和结构化学/题-027-3-3-异构体B结构式.md:46 | 真题/第27届初赛/无机和结构化学/题-027-3-4-硫脲溶解金离子方程式.md:40 | 真题/第27届初赛/无机和结构化学/题-027-3-5-配位原子判断.md:38 | 真题/第27届初赛/无机和结构化学/题-027-3-6-氧化偶联产物C.md:46,是
2ef4305c8eac398f8d264a1a7c511e240353e8bc1ecaa09286d858a0627aab78.jpg,6,题干图示,真题/第27届初赛/无机和结构化学/题-027-1-1-Mn2O3与CO反应.md,真题/第27届初赛/无机和结构化学/题-027-1-1-Mn2O3与CO反应.md:42 | 真题/第27届初赛/无机和结构化学/题-027-1-2-KCN与CuSO4反应.md:38 | 真题/第27届初赛/无机和结构化学/题-027-1-3-Cr2O3与铁氰化钾反应.md:38 | 真题/第27届初赛/无机和结构化学/题-027-1-4-锌氰配合物与甲醛反应.md:38 | 真题/第27届初赛/无机和结构化学/题-027-1-5-Fe(OH)2转化为Fe3O4.md:38 | 真题/第27届初赛/无机和结构化学/题-027-1-6-NaN3制备.md:38,是
4a627192094cf81aad272057093061c160d420a691a29ef82ad7eeaffabc080d.jpg,6,题干图示,真题/第27届初赛/无机和结构化学/题-027-1-1-Mn2O3与CO反应.md,真题/第27届初赛/无机和结构化学/题-027-1-1-Mn2O3与CO反应.md:44 | 真题/第27届初赛/无机和结构化学/题-027-1-2-KCN与CuSO4反应.md:40 | 真题/第27届初赛/无机和结构化学/题-027-1-3-Cr2O3与铁氰化钾反应.md:40 | 真题/第27届初赛/无机和结构化学/题-027-1-4-锌氰配合物与甲醛反应.md:40 | 真题/第27届初赛/无机和结构化学/题-027-1-5-Fe(OH)2转化为Fe3O4.md:40 | 真题/第27届初赛/无机和结构化学/题-027-1-6-NaN3制备.md:40,是
