hash,block_count,chapter_count,group_count,chapters,groups,blocks_with_sources
4e293826f39fd1fbde0c8bae1b5d6b43439298f7ae5da210010e5ebdc2c4871a,5,3,2,"第一篇-化学原理,第二篇-结构化学,第四篇-元素与分析","题-025-1 | 题-赵鑫光-基础-习13","第一篇-化学原理/4-氧化还原与电化学.md@4.1=>题-025-1-2-Ti红氧化与CuCl沉淀 ; 第一篇-化学原理/4-氧化还原与电化学.md@4.10=>题-025-1-5-高铁酸根氧化还原 ; 第二篇-结构化学/2-分子结构与化学键.md@2.4=>题-025-1-3-SNF与SNF3结构 ; 第二篇-结构化学/2-分子结构与化学键.md@2.5=>题-025-1-4-铝镁有机金属结构 ; 第四篇-元素与分析/1-化学基础与计量.md@1.1=>题-赵鑫光-基础-习13 ; 第四篇-元素与分析/1-化学基础与计量.md@1.1=>题-025-1-1-居里夫人发现元素"
ed2c9eaee823880bf399218d07b9596fecba1fc5a60c47719372d5208e7eaacc,5,3,2,"第一篇-化学原理,第二篇-结构化学,第四篇-元素与分析","题-025-1 | 题-赵鑫光-基础-习13","第一篇-化学原理/4-氧化还原与电化学.md@4.1=>题-025-1-2-Ti红氧化与CuCl沉淀 ; 第一篇-化学原理/4-氧化还原与电化学.md@4.10=>题-025-1-5-高铁酸根氧化还原 ; 第二篇-结构化学/2-分子结构与化学键.md@2.4=>题-025-1-3-SNF与SNF3结构 ; 第二篇-结构化学/2-分子结构与化学键.md@2.5=>题-025-1-4-铝镁有机金属结构 ; 第四篇-元素与分析/1-化学基础与计量.md@1.1=>题-赵鑫光-基础-习13 ; 第四篇-元素与分析/1-化学基础与计量.md@1.1=>题-025-1-1-居里夫人发现元素"
df8d66d087567b7be1c8cece58c9b5e1b662a94a51643513b283a8d0515ab38a,5,3,2,"第一篇-化学原理,第二篇-结构化学,第四篇-元素与分析","题-025-1 | 题-赵鑫光-基础-习13","第一篇-化学原理/4-氧化还原与电化学.md@4.1=>题-025-1-2-Ti红氧化与CuCl沉淀 ; 第一篇-化学原理/4-氧化还原与电化学.md@4.10=>题-025-1-5-高铁酸根氧化还原 ; 第二篇-结构化学/2-分子结构与化学键.md@2.4=>题-025-1-3-SNF与SNF3结构 ; 第二篇-结构化学/2-分子结构与化学键.md@2.5=>题-025-1-4-铝镁有机金属结构 ; 第四篇-元素与分析/1-化学基础与计量.md@1.1=>题-赵鑫光-基础-习13 ; 第四篇-元素与分析/1-化学基础与计量.md@1.1=>题-025-1-1-居里夫人发现元素"
982bd12d6e0a9f99a219a5ba80fd100dcab62a65f38d109cc284602588877067,5,1,4,"第一篇-化学原理","题-026-8 | 题-赵鑫光-电化学-例6 | 题-赵鑫光-电化学-例8 | 题-012-pH对电极电势的影响","第一篇-化学原理/4-氧化还原与电化学.md@4.11=>题-026-8-4-UCl3加入pH4缓冲液 ; 第一篇-化学原理/4-氧化还原与电化学.md@4.49=>题-赵鑫光-电化学-例6 ; 第一篇-化学原理/4-氧化还原与电化学.md@4.50=>题-赵鑫光-电化学-例8 ; 第一篇-化学原理/4-氧化还原与电化学.md@4.57=>题-012-pH对电极电势的影响 ; 第一篇-化学原理/5-溶液与酸碱平衡.md@5.2=>题-026-8-1-碳酸分布系数计算"
b087aa9d36ae0dfa22c294288aad11b094c972bc5e1473a3fd1d5aa0fc926f4b,3,2,1,"第一篇-化学原理,第三篇-有机化学","题-026-6","第一篇-化学原理/5-溶液与酸碱平衡.md@5.3=>题-026-6-2-喹啉酸一级电离 ; 第三篇-有机化学/9-杂环化合物与含杂原子有机物.md@9.1=>题-026-6-3-烟酸结构 ; 第三篇-有机化学/9-杂环化合物与含杂原子有机物.md@9.2=>题-026-6-1-喹啉酸最低构型"
fa8d59589b6b75d312d7b9a7c29f812d1df63be63b9284cd32de3d1dc3ed996f,3,2,1,"第一篇-化学原理,第三篇-有机化学","题-026-6","第一篇-化学原理/5-溶液与酸碱平衡.md@5.3=>题-026-6-2-喹啉酸一级电离 ; 第三篇-有机化学/9-杂环化合物与含杂原子有机物.md@9.1=>题-026-6-3-烟酸结构 ; 第三篇-有机化学/9-杂环化合物与含杂原子有机物.md@9.2=>题-026-6-1-喹啉酸最低构型"
324e37b69555ae7ed900b06a991d4fdfceb9aa50ae5b449b9c3269451d235f60,3,2,1,"第一篇-化学原理,第三篇-有机化学","题-026-6","第一篇-化学原理/5-溶液与酸碱平衡.md@5.3=>题-026-6-2-喹啉酸一级电离 ; 第三篇-有机化学/9-杂环化合物与含杂原子有机物.md@9.1=>题-026-6-3-烟酸结构 ; 第三篇-有机化学/9-杂环化合物与含杂原子有机物.md@9.2=>题-026-6-1-喹啉酸最低构型"
518527b8c23fd3877e2e19a29eb2adc20c61fa38bb2922a67116a1410a598f3e,4,1,3,"第三篇-有机化学","题-025-8 | 题-032-8 | 题-038-3","第三篇-有机化学/1-结构基础与波谱分析.md@1.1=>题-025-8-1-维生素A不饱和度 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.8=>题-032-8-3-碳正离子稳定性排序 ; 第三篇-有机化学/11-反应机理与推断.md@11.1=>题-025-8-4-反应类型分类 ; 第三篇-有机化学/11-反应机理与推断.md@11.4=>题-038-3-3-DNA荧光力学计算"
5cc97829b6af01baf95d637927facebfb137e7b1f928a5495130443f90238b45,4,1,3,"第三篇-有机化学","题-025-8 | 题-032-8 | 题-038-3","第三篇-有机化学/1-结构基础与波谱分析.md@1.1=>题-025-8-1-维生素A不饱和度 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.8=>题-032-8-3-碳正离子稳定性排序 ; 第三篇-有机化学/11-反应机理与推断.md@11.1=>题-025-8-4-反应类型分类 ; 第三篇-有机化学/11-反应机理与推断.md@11.4=>题-038-3-3-DNA荧光力学计算"
259ae15511bbf956c1a1adf0d6175bc7f4567b0c9c753ef55c02c255ca4d5a33,4,1,3,"第三篇-有机化学","题-025-8 | 题-032-8 | 题-038-3","第三篇-有机化学/1-结构基础与波谱分析.md@1.1=>题-025-8-1-维生素A不饱和度 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.8=>题-032-8-3-碳正离子稳定性排序 ; 第三篇-有机化学/11-反应机理与推断.md@11.1=>题-025-8-4-反应类型分类 ; 第三篇-有机化学/11-反应机理与推断.md@11.4=>题-038-3-3-DNA荧光力学计算"
478f6b3ed7a4841154e6f0d88d816cde6f67c078acd8e6810f310b59a02a3d2d,4,1,3,"第三篇-有机化学","题-025-8 | 题-032-8 | 题-038-3","第三篇-有机化学/1-结构基础与波谱分析.md@1.1=>题-025-8-1-维生素A不饱和度 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.8=>题-032-8-3-碳正离子稳定性排序 ; 第三篇-有机化学/11-反应机理与推断.md@11.1=>题-025-8-4-反应类型分类 ; 第三篇-有机化学/11-反应机理与推断.md@11.4=>题-038-3-3-DNA荧光力学计算"
20537a122a81103859d18697ac119f30c0872373a4c6d201519d0655104637b2,4,1,4,"第三篇-有机化学","题-029-2 | 题-033-1 | 题-025-9 | 题-有机-周环-DielsAlder反应endo选择性判断","第三篇-有机化学/1-结构基础与波谱分析.md@1.2=>题-029-2-3-1-聚乙二醇结构判断 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.9=>题-033-1-1-乙烯氧化产物推断 ; 第三篇-有机化学/7-金属有机与偶联反应.md@7.16=>题-025-9-1-有机推断结构式 ; 第三篇-有机化学/8-周环反应与自由基.md@8.34=>题-有机-周环-DielsAlder反应endo选择性判断"
58edefed0566f708721e4fbde9884643b322b8936ecdbbbf7b94e606088bc278,4,1,4,"第三篇-有机化学","题-029-2 | 题-033-1 | 题-025-9 | 题-有机-周环-DielsAlder反应endo选择性判断","第三篇-有机化学/1-结构基础与波谱分析.md@1.2=>题-029-2-3-1-聚乙二醇结构判断 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.9=>题-033-1-1-乙烯氧化产物推断 ; 第三篇-有机化学/7-金属有机与偶联反应.md@7.16=>题-025-9-1-有机推断结构式 ; 第三篇-有机化学/8-周环反应与自由基.md@8.34=>题-有机-周环-DielsAlder反应endo选择性判断"
ffea9805815030770074755583522e4ff3e7c47605998242f792f2ed6b5f617a,4,1,4,"第三篇-有机化学","题-029-2 | 题-033-1 | 题-025-9 | 题-有机-周环-DielsAlder反应endo选择性判断","第三篇-有机化学/1-结构基础与波谱分析.md@1.2=>题-029-2-3-1-聚乙二醇结构判断 ; 第三篇-有机化学/1-结构基础与波谱分析.md@1.9=>题-033-1-1-乙烯氧化产物推断 ; 第三篇-有机化学/7-金属有机与偶联反应.md@7.16=>题-025-9-1-有机推断结构式 ; 第三篇-有机化学/8-周环反应与自由基.md@8.34=>题-有机-周环-DielsAlder反应endo选择性判断"
