broken_name,fix_target_relpath,occurrences,sample_sources
R/S命名,03-知识点/有机化学/R-S构型.md,5,07-资料提炼/教学逻辑提炼/学而思 有机化学基础/教学逻辑提炼-学而思有机化学基础-批次A-第三轮起步.md; 07-资料提炼/网课资料/学而思 有机化学基础/资料提炼-学而思有机化学基础-批次A-绪论烷烃立体化学.md
frost图,03-知识点/化学原理/Frost图.md,3,skills/kb-link-doctor/SKILL.md
ene反应,03-知识点/有机化学/Ene反应.md,2,00-首页/工作日志/2026-05-23.md
题-120-ABOC-Ch4-4.3-近年来 我国有机化学家发展了一些新型的有机试剂 如氟化试剂,04-题库/教材习题/ABOC/题-120-ABOC-Ch4-4.3-近年来 我国有机化学家发展了一些新型的有机试剂 如氟化试剂 .md,1,04-题库/教材习题/ABOC/索引.md
题-142-ABOC-Ch5-5.6.4-2-写出过量 Li在质子溶剂中还原萘得到的产物和机理 自学练习,04-题库/教材习题/ABOC/题-142-ABOC-Ch5-5.6.4-2-写出过量 Li在质子溶剂中还原萘得到的产物和机理 自学练习 .md,1,04-题库/教材习题/ABOC/索引.md
题-162-ABOC-Ch6-6.13-使用含氟的受体可以实现 5 endo trig 如下所示,04-题库/教材习题/ABOC/题-162-ABOC-Ch6-6.13-使用含氟的受体可以实现 5 endo trig 如下所示  .md,1,04-题库/教材习题/ABOC/索引.md
题-176-ABOC-Ch9-9.3.6-写出 Bucherer 咔唑合成 Gassman 吲哚合成,04-题库/教材习题/ABOC/题-176-ABOC-Ch9-9.3.6-写出 Bucherer 咔唑合成 Gassman 吲哚合成 .md,1,04-题库/教材习题/ABOC/索引.md
50--有机合成,02-考纲条目/基础要求/有机化学/50-有机合成.md,1,09-审计报告/2026-07-12-全库逐文件深度审计.md
β-氢消除,03-知识点/决赛要求/金属有机与超分子/β_氢消除.md,1,09-审计报告/2026-07-22-全库深度检查报告.md
知识点-,03-知识点/知识点.md,1,skills/kb-link-doctor/SKILL.md
